,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1.0,개방화장실,법제3조제16호-영제3조제1항제1호,강동구의회 화장실,서울특별시 강동구 성내로 55,서울특별시 강동구 성내동 541-1,13,14,1,1,0,0,11,1,0,강동구의회사무국,02-3425-7365,정시,09:00~18:00,1996-09,37.5286,127.1264,공공기관-국가공공기관,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
2.0,공중화장실,법제3조제11호,삼표에너지 고덕주유소,서울특별시 강동구 고덕로 39,서울특별시 강동구 암사동 441-13,1,2,0,1,0,0,1,0,0,삼표에너지 고덕주유소,02-441-3327,정시,06:00~24:00,2009-04,37.5551,127.1297,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
3.0,공중화장실,법제3조제11호,㈜소모에너지 신월주유소,서울특별시 강동구 양재대로 1323,서울특별시 강동구 성내동 439-19,1,2,0,0,0,0,2,0,0,㈜소모에너지 신월주유소,02-6956-6674,정시,06:00~24:00,2022-04,37.5246,127.1346,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
4.0,공중화장실,법제3조제11호,대성석유㈜ 길동주유소,서울특별시 강동구 천호대로 1168,서울특별시 강동구 둔촌동 66-1,1,2,0,0,0,0,2,0,0,대성석유㈜길동주유소,02-474-7222,정시,06:00~22:00,1997-10,37.5335,127.1411,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
5.0,공중화장실,법제3조제11호,지에스칼텍스㈜동서울주유소,서울특별시 강동구 천호대로 1456,서울특별시 강동구 상일동 443-8,1,3,0,0,0,0,1,0,0,지에스칼텍스㈜동서울주유소,02-426-5372,상시,"""""",2019-04,37.5452,127.1703,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
6.0,공중화장실,법제3조제11호,광성주유소,서울특별시 강동구 올림픽로 673,서울특별시 강동구 천호동 354-4,1,1,0,0,0,0,2,0,0,광성주유소,02-478-2574,상시,"""""",1977-08,37.5416,127.1242,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
7.0,공중화장실,법제3조제11호,재건에너지재정제2주유소고속셀프지점,서울특별시 강동구 천호대로 1246,서울특별시 강동구 둔촌동 600-1,1,2,0,0,0,0,2,0,0,재건에너지재정제2주유소고속셀프지점,02-487-2030,정시,06:00~24:00,2021-04,37.5366,127.1494,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
8.0,공중화장실,법제3조제11호,㈜소모에너지 성내주유소,서울특별시 강동구 올림픽로 578,서울특별시 강동구 성내동 107-7,1,1,0,0,0,0,1,0,0,㈜소모에너지 성내주유소,02-479-3838,상시,"""""",1989-10,37.5332,127.1218,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
9.0,공중화장실,법제3조제11호,명일주유소,서울특별시 강동구 고덕로168,서울특별시 강동구 명일동 305-51,1,2,0,0,0,0,2,0,0,명일주유소,02-3428-2739,정시,06:00~21:00,2014-01,37.5545,127.1441,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
10.0,공중화장실,법제3조제11호,천호 현대주유소,서울특별시 강동구 천중로 67,서울특별시 강동구 천호동 308-11,1,1,0,0,0,0,1,0,0,천호 현대주유소,02-484-9323,정시,06:00~24:00,2019-07,37.5451,127.1295,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
11.0,공중화장실,법제3조제11호,(주)지유에너지직영 오렌지주유소,서울특별시 강동구 성안로 102,서울특별시 강동구 성내동 385-4,1,2,0,0,0,0,1,0,0,(주)지유에너지직영 오렌지주유소,02-484-6165,상시,"""""",2014-03,37.5323,127.1332,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
12.0,공중화장실,법제3조제11호,구천면 주유소,서울특별시 강동구 구천면로 357,서울특별시 강동구 암사동 425-187,1,1,0,0,0,0,1,0,0,구천면 주유소,02-441-0536,정시,06:00~23:30,2012-11,37.5504,127.1383,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
13.0,공중화장실,법제3조제11호,㈜퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556,서울특별시 강동구 성내동 319-1,1,1,0,0,0,0,2,0,0,㈜퍼스트오일 코알라주유소,02-484-1162,정시,05:00~24:00,2016-10,37.531,127.1211,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
14.0,공중화장실,법제3조제11호,방아다리 주유소,서울특별시 강동구 동남로 811,서울특별시 강동구 명일동 216-5,1,1,0,0,0,0,1,0,0,방아다리 주유소,02-442-5145,정시,05:00~24:00,2000-04,37.546,127.1555,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
15.0,공중화장실,법제3조제11호,해뜨는 주유소,서울특별시 강동구 상일로 132,서울특별시 강동구 강일동 712,1,2,0,0,0,0,2,0,0,해뜨는 주유소,02-442-5145,정시,05:00~24:00,2009-07,37.5585,127.1714,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
16.0,공중화장실,법제3조제12호,복지상일충전소 화장실,서울특별시 강동구 천호대로 1452,서울특별시 강동구 상일동 443-5,4,4,0,0,0,0,1,0,0,강동구청,"""""",상시,"""""",2018-09,37.5451,127.1698,민간소유-법인,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
17.0,공중화장실,법제3조제12호,복지둔촌충전소 화장실,서울특별시 강동구 동남로 563,서울특별시 강동구 둔촌동 115-1,2,5,0,0,0,0,1,0,0,강동구청,"""""",상시,"""""",2010-04,37.5251,127.1467,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
18.0,공중화장실,법제3조제12호,비자인터내셔날㈜암사충전소 화장실,서울특별시 강동구 올림픽로 791,서울특별시 강동구 암사동 503-30,2,3,0,0,0,0,1,0,0,강동구청,"""""",상시,"""""",1999-08,37.5518,127.1279,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
19.0,공중화장실,법제3조제16호-영제3조제1항제2호,서울 암사동 유적 화장실,서울특별시 강동구 올림픽로 875,서울특별시 강동구 암사동 139-2,10,14,1,4,1,0,7,1,3,강동구청 문화예술과,02-3425-6520,정시,09:30~18:00,1980-01,37.5602,127.1299,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,"""""",2024-01-29
20.0,개방화장실,법제3조제16호-영제3조제1항제1호,강동구보건소 화장실,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,2,2,1,0,0,0,3,1,0,강동구보건소,02-3425-6604,정시,09:00~18:00,1987-12,37.5293,127.12555,공공기관-지방자치단체,수세식,Y,N,"""""",N,Y,여자화장실,"""""",2024-01-29
21.0,개방화장실,법제3조제16호-영제3조제1항제1호,강일동주민센터 화장실,서울특별시 강동구 아리수로93길9-14,서울특별시 강동구 강일동 678,2,3,0,0,0,0,4,1,0,강동구 강일동주민센터,02-3425-7400,정시,(평일)09:00~18:00,2009-10,37.5652,127.1739,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
22.0,개방화장실,법제3조제16호-영제3조제1항제1호,상일1동 주민센터 화장실,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,7,8,1,0,0,0,15,1,0,강동구 상일1동 주민센터,02-2600-7895,정시,(평일)09:00~18:00,2020-10,37.55071,127.168361,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,N,N,"""""","""""",2024-01-29
23.0,개방화장실,법제3조제16호-영제3조제1항제1호,상일2동주민센터 화장실,서울특별시 강동구 상일로6길 51,서울특별시 강동구 상일동 502-2,2,3,1,1,0,0,4,1,0,㈜다올이엔씨,02-2041-7707,정시,(평일)09:00~18:00,"""""",37.55,127.1758,민간소유-개인,수세식,Y,Y,장애인화장실,Y,N,"""""","""""",2024-01-29
24.0,개방화장실,법제3조제16호-영제3조제1항제1호,명일1동 주민센터 화장실,서울특별시 강동구 양재대로1634,서울특별시 강동구 명일동 312-99,2,1,0,0,0,0,3,0,0,강동구 명일1동 주민센터,02-3425-7460,정시,(평일)09:00~18:00,2021-11,37.55162,127.1442,민간소유-개인,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
25.0,개방화장실,법제3조제16호-영제3조제1항제1호,명일2동주민센터 화장실,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,2,2,0,0,0,0,2,0,0,강동구 명일2동 주민센터,02-3425-7490,정시,(평일)09:00~18:00,1990-05,37.5463593,127.1513362,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
